DiagnosisCode,DiagnosisGrouping,DiagnosisDescription
P038,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Fetus and newborn affected by other specified complications of labour and delivery
P034,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Fetus and newborn affected by caesarean delivery
P033,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Fetus and newborn affected by delivery by vacuum extractor [ventouse]
P031,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery","Fetus and newborn affected by other malpresentation, malposition and disproportion during labour and delivery"
P030,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Fetus and newborn affected by breech delivery and extraction
P027,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Fetus and newborn affected by chorioamnionitis
P017,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Fetus and newborn affected by malpresentation before labour
P002,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Fetus and newborn affected by maternal infectious and parasitic diseases
O998,"Other obstetric conditions, not elsewhere classified","Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium"
O995,"Other obstetric conditions, not elsewhere classified","Diseases of the respiratory system complicating pregnancy, childbirth and the puerperium"
O994,"Other obstetric conditions, not elsewhere classified","Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium"
O992,"Other obstetric conditions, not elsewhere classified","Endocrine, nutritional and metabolic diseases complicating pregnancy, childbirth and the puerperium"
O990,"Other obstetric conditions, not elsewhere classified","Anaemia complicating pregnancy, childbirth and the puerperium"
O925,Complications predominantly related to the puerperium,Suppressed lactation
O903,Complications predominantly related to the puerperium,Cardiomyopathy in the puerperium
O80,Delivery,Single spontaneous delivery
O76,Complications of labour and delivery,Preterm spontaneous labour with preterm delivery
O694,Complications of labour and delivery,Labour and delivery complicated by vasa praevia
O620,Complications of labour and delivery,Primary inadequate contractions
O601,Complications of labour and delivery,Preterm spontaneous labour with preterm delivery
O480,Maternal care related to the fetus and amniotic cavity and possible delivery problems,Prolonged pregnancy
O471,Maternal care related to the fetus and amniotic cavity and possible delivery problems,False labour at or after 37 completed weeks of gestation
O469,Maternal care related to the fetus and amniotic cavity and possible delivery problems,"Antepartum haemorrhage, unspecified"
O459,Maternal care related to the fetus and amniotic cavity and possible delivery problems,"Premature separation of placenta, unspecified"
O439,Maternal care related to the fetus and amniotic cavity and possible delivery problems,"Placental disorder, unspecified"
O429,Maternal care related to the fetus and amniotic cavity and possible delivery problems,"Premature rupture of membranes, unspecified"
O411,Maternal care related to the fetus and amniotic cavity and possible delivery problems,Infection of amniotic sac and membranes
O403,Maternal care related to the fetus and amniotic cavity and possible delivery problems,Polyhydramnios
O368,Maternal care related to the fetus and amniotic cavity and possible delivery problems,Maternal care for other specified fetal problems
O365,Maternal care related to the fetus and amniotic cavity and possible delivery problems,Maternal care for poor fetal growth
O358,Maternal care related to the fetus and amniotic cavity and possible delivery problems,Maternal care for other (suspected) fetal abnormality and damage
O351,Maternal care related to the fetus and amniotic cavity and possible delivery problems,Maternal care for (suspected) chromosomal abnormality in fetus
O344,Maternal care related to the fetus and amniotic cavity and possible delivery problems,Maternal care for other abnormalities of cervix
O342,Maternal care related to the fetus and amniotic cavity and possible delivery problems,Maternal care due to uterine scar from previous surgery
O329,Maternal care related to the fetus and amniotic cavity and possible delivery problems,"Maternal care for malpresentation of fetus, unspecified"
O300,Maternal care related to the fetus and amniotic cavity and possible delivery problems,Twin pregnancy
O283,Other maternal disorders predominantly related to pregnancy,Abnormal ultrasonic finding on antenatal screening of mother
O268,Other maternal disorders predominantly related to pregnancy,Other specified pregnancy-related conditions
O262,Other maternal disorders predominantly related to pregnancy,Pregnancy care of habitual aborter
O244,Other maternal disorders predominantly related to pregnancy,Diabetes mellitus arising in pregnancy
O241,Other maternal disorders predominantly related to pregnancy,Pre-existing type 2 diabetes mellitus
O219,Other maternal disorders predominantly related to pregnancy,"Vomiting of pregnancy, unspecified"
O211,Other maternal disorders predominantly related to pregnancy,Hyperemesis gravidarum with metabolic disturbance
O210,Other maternal disorders predominantly related to pregnancy,Mild hyperemesis gravidarum
O209,Other maternal disorders predominantly related to pregnancy,"Haemorrhage in early pregnancy, unspecified"
O200,Other maternal disorders predominantly related to pregnancy,Threatened abortion
O165,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",Unspecified maternal hypertension
O163,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",Unspecified maternal hypertension
O133,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",Gestational [pregnancy-induced] hypertension
O109,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium","Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
O100,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium","Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium"
O095,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium","Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
O092,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium","Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
O039,Pregnancy with abortive outcome,"Spontaneous abortion, complete or unspecified, without complication"
O021,Pregnancy with abortive outcome,Missed abortion
O009,Pregnancy with abortive outcome,"Ectopic pregnancy, unspecified"
O001,Pregnancy with abortive outcome,Tubal pregnancy
N995,Other disorders of genitourinary system,Malfunction of external stoma of urinary tract
N959,Noninflammatory disorders of female genital tract,"Menopausal and perimenopausal disorder, unspecified"
N951,Noninflammatory disorders of female genital tract,Menopausal and female climacteric states
N950,Noninflammatory disorders of female genital tract,Postmenopausal bleeding
N948,Noninflammatory disorders of female genital tract,Other specified conditions associated with female genital organs and menstrual cycle
N939,Noninflammatory disorders of female genital tract,"Abnormal uterine and vaginal bleeding, unspecified"
N938,Noninflammatory disorders of female genital tract,Other specified abnormal uterine and vaginal bleeding
N926,Noninflammatory disorders of female genital tract,"Irregular menstruation, unspecified"
N921,Noninflammatory disorders of female genital tract,Excessive and frequent menstruation with irregular cycle
N920,Noninflammatory disorders of female genital tract,Excessive and frequent menstruation with regular cycle
N912,Noninflammatory disorders of female genital tract,"Amenorrhoea, unspecified"
N911,Noninflammatory disorders of female genital tract,Secondary amenorrhoea
N908,Noninflammatory disorders of female genital tract,Other specified noninflammatory disorders of vulva and perineum
N898,Noninflammatory disorders of female genital tract,Other specified noninflammatory disorders of vagina
N891,Noninflammatory disorders of female genital tract,Moderate vaginal dysplasia
N871,Noninflammatory disorders of female genital tract,Moderate cervical dysplasia
N840,Noninflammatory disorders of female genital tract,Polyp of corpus uteri
N832,Noninflammatory disorders of female genital tract,Other and unspecified ovarian cysts
N831,Noninflammatory disorders of female genital tract,Corpus luteum cyst
N830,Noninflammatory disorders of female genital tract,Follicular cyst of ovary
N824,Noninflammatory disorders of female genital tract,Other female intestinal-genital tract fistulae
N818,Noninflammatory disorders of female genital tract,Other female genital prolapse
N816,Noninflammatory disorders of female genital tract,Rectocele
N811,Noninflammatory disorders of female genital tract,Cystocele
N801,Noninflammatory disorders of female genital tract,Endometriosis of ovary
N764,Inflammatory diseases of female pelvic organs,Abscess of vulva
N760,Inflammatory diseases of female pelvic organs,Acute vaginitis
N701,Inflammatory diseases of female pelvic organs,Chronic salpingitis and oophoritis
N649,Disorders of breast,"Disorder of breast, unspecified"
N648,Disorders of breast,Other specified disorders of breast
N645,Disorders of breast,Other signs and symptoms in breast
N644,Disorders of breast,Mastodynia
N634,Disorders of breast,Unspecified lump in breast
N632,Disorders of breast,Unspecified lump in breast
N631,Disorders of breast,Unspecified lump in breast
N630,Disorders of breast,Unspecified lump in breast
N62,Disorders of breast,Hypertrophy of breast
N611,Disorders of breast,Inflammatory disorders of breast
N609,Disorders of breast,"Benign mammary dysplasia, unspecified"
N601,Disorders of breast,Diffuse cystic mastopathy
N529,Diseases of male genital organs,Other specified disorders of male genital organs
N508,Diseases of male genital organs,Other specified disorders of male genital organs
N452,Diseases of male genital organs,Orchitis and epididymitis
N451,Diseases of male genital organs,Orchitis and epididymitis
N433,Diseases of male genital organs,"Hydrocele, unspecified"
N411,Diseases of male genital organs,Chronic prostatitis
N401,Diseases of male genital organs,Hyperplasia of prostate
N400,Diseases of male genital organs,Hyperplasia of prostate
N394,Other diseases of urinary system,Other specified urinary incontinence
N393,Other diseases of urinary system,Stress incontinence
N390,Other diseases of urinary system,"Urinary tract infection, site not specified"
N360,Other diseases of urinary system,Urethral fistula
N328,Other diseases of urinary system,Other specified disorders of bladder
N302,Other diseases of urinary system,Other chronic cystitis
N300,Other diseases of urinary system,Acute cystitis
N289,Other disorders of kidney and ureter,"Disorder of kidney and ureter, unspecified"
N288,Other disorders of kidney and ureter,Other specified disorders of kidney and ureter
N281,Other disorders of kidney and ureter,"Cyst of kidney, acquired"
N23,Urolithiasis,Unspecified renal colic
N211,Urolithiasis,Calculus in urethra
N202,Urolithiasis,Calculus of kidney with calculus of ureter
N201,Urolithiasis,Calculus of ureter
N200,Urolithiasis,Calculus of kidney
N19,Renal failure,Unspecified kidney failure
N189,Renal failure,Chronic kidney disease
N186,Renal failure,Chronic kidney disease
N185,Renal failure,Chronic kidney disease
N184,Renal failure,Chronic kidney disease
N183,Renal failure,Chronic kidney disease
N182,Renal failure,Chronic kidney disease
N179,Renal failure,Acute renal failure
N178,Renal failure,Acute renal failure
N170,Renal failure,Acute renal failure
N139,Renal tubulo-interstitial diseases,"Obstructive and reflux uropathy, unspecified"
N137,Renal tubulo-interstitial diseases,Vesicoureteral-reflux-associated uropathy
N133,Renal tubulo-interstitial diseases,Other and unspecified hydronephrosis
N130,Renal tubulo-interstitial diseases,Hydronephrosis with ureteropelvic junction obstruction
N12,Renal tubulo-interstitial diseases,"Tubulo-interstitial nephritis, not specified as acute or chronic"
N10,Renal tubulo-interstitial diseases,Acute tubulo-interstitial nephritis
M990,Other disorders of the musculoskeletal system and connective tissue,Segmental and somatic dysfunction
M972,Other disorders of the musculoskeletal system and connective tissue,Segmental and somatic dysfunction
M960,Other disorders of the musculoskeletal system and connective tissue,Pseudarthrosis after fusion or arthrodesis
M898,Osteopathies and chondropathies: Other osteopathies,Other specified disorders of bone
M869,Osteopathies and chondropathies: Other osteopathies,"Osteomyelitis, unspecified"
M864,Osteopathies and chondropathies: Other osteopathies,Chronic osteomyelitis with draining sinus
M862,Osteopathies and chondropathies: Other osteopathies,Subacute osteomyelitis
M861,Osteopathies and chondropathies: Other osteopathies,Other acute osteomyelitis
M858,Osteopathies and chondropathies: Disorders of bone density and structure,Other specified disorders of bone density and structure
M856,Osteopathies and chondropathies: Disorders of bone density and structure,Other cyst of bone
M844,Osteopathies and chondropathies: Disorders of bone density and structure,"Pathological fracture, not elsewhere classified"
M843,Osteopathies and chondropathies: Disorders of bone density and structure,"Stress fracture, not elsewhere classified"
M810,Osteopathies and chondropathies: Disorders of bone density and structure,Postmenopausal osteoporosis
M800,Osteopathies and chondropathies: Disorders of bone density and structure,Postmenopausal osteoporosis with pathological fracture
M798,Soft tissue disorders: Other soft tissue disorders,Other specified soft tissue disorders
M797,Soft tissue disorders: Other soft tissue disorders,Fibromyalgia
M796,Soft tissue disorders: Other soft tissue disorders,Pain in limb
M792,Soft tissue disorders: Other soft tissue disorders,"Neuralgia and neuritis, unspecified"
M791,Soft tissue disorders: Other soft tissue disorders,Myalgia
M771,Soft tissue disorders: Other soft tissue disorders,Lateral epicondylitis
M758,Soft tissue disorders: Other soft tissue disorders,Other shoulder lesions
M752,Soft tissue disorders: Other soft tissue disorders,Bicipital tendinitis
M751,Soft tissue disorders: Other soft tissue disorders,Rotator cuff syndrome
M726,Soft tissue disorders: Other soft tissue disorders,Necrotising fasciitis
M722,Soft tissue disorders: Other soft tissue disorders,Plantar fascial fibromatosis
M720,Soft tissue disorders: Other soft tissue disorders,Palmar fascial fibromatosis [Dupuytren]
M712,Soft tissue disorders: Other soft tissue disorders,Synovial cyst of popliteal space [Baker]
M706,Soft tissue disorders: Other soft tissue disorders,Trochanteric bursitis
M704,Soft tissue disorders: Other soft tissue disorders,Prepatellar bursitis
M702,Soft tissue disorders: Other soft tissue disorders,Olecranon bursitis
M679,Soft tissue disorders: Disorders of synovium and tendon,"Disorder of synovium and tendon, unspecified"
M659,Soft tissue disorders: Disorders of synovium and tendon,"Synovitis and tenosynovitis, unspecified"
M628,Soft tissue disorders: Disorders of muscles,Other specified disorders of muscle
M549,Dorsopathies: Deforming dorsopathies,"Dorsalgia, unspecified"
M546,Dorsopathies: Deforming dorsopathies,Pain in thoracic spine
M545,Dorsopathies: Deforming dorsopathies,Low back pain
M544,Dorsopathies: Deforming dorsopathies,Lumbago with sciatica
M543,Dorsopathies: Deforming dorsopathies,Sciatica
M542,Dorsopathies: Deforming dorsopathies,Cervicalgia
M541,Dorsopathies: Deforming dorsopathies,Radiculopathy
M533,Dorsopathies: Deforming dorsopathies,"Sacrococcygeal disorders, not elsewhere classified"
M519,Dorsopathies: Deforming dorsopathies,"Intervertebral disc disorder, unspecified"
M513,Dorsopathies: Deforming dorsopathies,Other specified intervertebral disc degeneration
M512,Dorsopathies: Deforming dorsopathies,Other specified intervertebral disc displacement
M503,Dorsopathies: Deforming dorsopathies,Other cervical disc degeneration
M502,Dorsopathies: Deforming dorsopathies,Other cervical disc displacement
M480,Dorsopathies: Deforming dorsopathies,Spinal stenosis
M478,Dorsopathies: Deforming dorsopathies,Other spondylosis
M472,Dorsopathies: Deforming dorsopathies,Other spondylosis with radiculopathy
M471,Dorsopathies: Deforming dorsopathies,Other spondylosis with myelopathy
M464,Dorsopathies: Deforming dorsopathies,"Discitis, unspecified"
M462,Dorsopathies: Deforming dorsopathies,Osteomyelitis of vertebra
M461,Dorsopathies: Deforming dorsopathies,"Sacroiliitis, not elsewhere classified"
M450,Dorsopathies: Deforming dorsopathies,Ankylosing spondylitis
M432,Dorsopathies: Deforming dorsopathies,Other fusion of spine
M431,Dorsopathies: Deforming dorsopathies,Spondylolisthesis
M419,Dorsopathies: Deforming dorsopathies,"Scoliosis, unspecified"
M359,Systemic connective tissue disorders,"Systemic involvement of connective tissue, unspecified"
M353,Systemic connective tissue disorders,Polymyalgia rheumatica
M349,Systemic connective tissue disorders,"Systemic sclerosis, unspecified"
M339,Systemic connective tissue disorders,"Dermatopolymyositis, unspecified"
M332,Systemic connective tissue disorders,Polymyositis
M329,Systemic connective tissue disorders,"Systemic lupus erythematosus, unspecified"
M321,Systemic connective tissue disorders,Systemic lupus erythematosus with organ or system involvement
M310,Systemic connective tissue disorders,Hypersensitivity angiitis
M266,Systemic connective tissue disorders,Hypersensitivity angiitis
M258,Arthropathies: Other joint disorders,Other specified joint disorders
M256,Arthropathies: Other joint disorders,"Stiffness of joint, not elsewhere classified"
M255,Arthropathies: Other joint disorders,Pain in joint
M254,Arthropathies: Other joint disorders,Effusion of joint
M232,Arthropathies: Other joint disorders,Derangement of meniscus due to old tear or injury
M216,Arthropathies: Other joint disorders,Other acquired deformities of ankle and foot
M1A9,Arthropathies: Other joint disorders,Other acquired deformities of ankle and foot
M1A0,Arthropathies: Other joint disorders,Other acquired deformities of ankle and foot
M199,Arthropathies: Arthrosis,Other arthrosis
M190,Arthropathies: Arthrosis,Other arthrosis
M171,Arthropathies: Arthrosis,Gonarthrosis [arthrosis of knee]
M170,Arthropathies: Arthrosis,Gonarthrosis [arthrosis of knee]
M161,Arthropathies: Arthrosis,Coxarthrosis [arthrosis of hip]
M129,Arthropathies: Inflammatory polyarthropathies,Other specific arthropathies
M128,Arthropathies: Inflammatory polyarthropathies,"Other specific arthropathies, not elsewhere classified"
M125,Arthropathies: Inflammatory polyarthropathies,Traumatic arthropathy
M109,Arthropathies: Inflammatory polyarthropathies,"Gout, unspecified"
M080,Arthropathies: Inflammatory polyarthropathies,Juvenile rheumatoid arthritis
M069,Arthropathies: Inflammatory polyarthropathies,"Rheumatoid arthritis, unspecified"
M057,Arthropathies: Inflammatory polyarthropathies,Seropositive rheumatoid arthritis
L989,Other disorders of the skin and subcutaneous tissue,"Disorder of skin and subcutaneous tissue, unspecified"
L980,Other disorders of the skin and subcutaneous tissue,Pyogenic granuloma
L979,Other disorders of the skin and subcutaneous tissue,"Ulcer of lower limb, not elsewhere classified"
L978,Other disorders of the skin and subcutaneous tissue,"Ulcer of lower limb, not elsewhere classified"
L975,Other disorders of the skin and subcutaneous tissue,"Ulcer of lower limb, not elsewhere classified"
L972,Other disorders of the skin and subcutaneous tissue,"Ulcer of lower limb, not elsewhere classified"
L929,Other disorders of the skin and subcutaneous tissue,"Granulomatous disorder of skin and subcutaneous tissue, unspecified"
L910,Other disorders of the skin and subcutaneous tissue,Hypertrophic scar
L894,Other disorders of the skin and subcutaneous tissue,Decubitus ulcer and pressure area
L891,Other disorders of the skin and subcutaneous tissue,Stage II decubitus ulcer
L821,Other disorders of the skin and subcutaneous tissue,Seborrhoeic keratosis
L820,Other disorders of the skin and subcutaneous tissue,Seborrhoeic keratosis
L763,Other disorders of the skin and subcutaneous tissue,Seborrhoeic keratosis
L739,Disorders of skin appendages,"Follicular disorder, unspecified"
L738,Disorders of skin appendages,Other specified follicular disorders
L732,Disorders of skin appendages,Hidradenitis suppurativa
L630,Disorders of skin appendages,Alopecia (capitis) totalis
L600,Disorders of skin appendages,Ingrowing nail
L570,Radiation-related disorders of the skin and subcutaneous tissue,Actinic keratosis
L508,Urticaria and erythema,Other urticaria
L308,Dermatitis and eczema,Other specified dermatitis
L259,Dermatitis and eczema,"Unspecified contact dermatitis, unspecified cause"
L237,Dermatitis and eczema,"Allergic contact dermatitis due to plants, except food"
L208,Dermatitis and eczema,Other atopic dermatitis
L050,Infections of the skin and subcutaneous tissue,Pilonidal cyst with abscess
L040,Infections of the skin and subcutaneous tissue,"Acute lymphadenitis of face, head and neck"
L039,Infections of the skin and subcutaneous tissue,"Cellulitis, unspecified"
L033,Infections of the skin and subcutaneous tissue,Cellulitis of trunk
L032,Infections of the skin and subcutaneous tissue,Cellulitis of face
L031,Infections of the skin and subcutaneous tissue,Cellulitis of other parts of limb
L029,Infections of the skin and subcutaneous tissue,"Cutaneous abscess, furuncle and carbuncle, unspecified"
L026,Infections of the skin and subcutaneous tissue,"Cutaneous abscess, furuncle and carbuncle"
L024,Infections of the skin and subcutaneous tissue,"Cutaneous abscess, furuncle and carbuncle of limb"
L022,Infections of the skin and subcutaneous tissue,"Cutaneous abscess, furuncle and carbuncle of trunk"
K942,Other diseases of the digestive system,"Gastrointestinal haemorrhage, unspecified"
K941,Other diseases of the digestive system,"Gastrointestinal haemorrhage, unspecified"
K940,Other diseases of the digestive system,"Gastrointestinal haemorrhage, unspecified"
K922,Other diseases of the digestive system,"Gastrointestinal haemorrhage, unspecified"
K921,Other diseases of the digestive system,Melaena
K920,Other diseases of the digestive system,Haematemesis
K918,Other diseases of the digestive system,"Other postprocedural disorders of digestive system, not elsewhere classified"
K912,Other diseases of the digestive system,"Postsurgical malabsorption, not elsewhere classified"
K909,Other diseases of the digestive system,"Intestinal malabsorption, unspecified"
K904,Other diseases of the digestive system,"Malabsorption due to intolerance, not elsewhere classified"
K900,Other diseases of the digestive system,Coeliac disease
K869,"Disorders of gallbladder, biliary tract and pancreas","Disease of pancreas, unspecified"
K868,"Disorders of gallbladder, biliary tract and pancreas",Other specified diseases of pancreas
K863,"Disorders of gallbladder, biliary tract and pancreas",Pseudocyst of pancreas
K862,"Disorders of gallbladder, biliary tract and pancreas",Cyst of pancreas
K851,"Disorders of gallbladder, biliary tract and pancreas",Billiary acute pancreatitis
K838,"Disorders of gallbladder, biliary tract and pancreas",Other specified diseases of biliary tract
K831,"Disorders of gallbladder, biliary tract and pancreas",Obstruction of bile duct
K830,"Disorders of gallbladder, biliary tract and pancreas",Cholangitis
K829,"Disorders of gallbladder, biliary tract and pancreas","Disease of gallbladder, unspecified"
K828,"Disorders of gallbladder, biliary tract and pancreas",Other specified diseases of gallbladder
K811,"Disorders of gallbladder, biliary tract and pancreas",Chronic cholecystitis
K810,"Disorders of gallbladder, biliary tract and pancreas",Acute cholecystitis
K805,"Disorders of gallbladder, biliary tract and pancreas",Calculus of bile duct without cholangitis or cholecystitis
K802,"Disorders of gallbladder, biliary tract and pancreas",Calculus of gallbladder without cholecystitis
K801,"Disorders of gallbladder, biliary tract and pancreas",Calculus of gallbladder with other cholecystitis
K769,Diseases of liver,"Liver disease, unspecified"
K760,Diseases of liver,"Fatty (change of) liver, not elsewhere classified"
K750,Diseases of liver,Abscess of liver
K746,Diseases of liver,Other and unspecified cirrhosis of liver
K743,Diseases of liver,Primary biliary cirrhosis
K740,Diseases of liver,Hepatic fibrosis
K716,Diseases of liver,"Toxic liver disease with hepatitis, not elsewhere classified"
K703,Diseases of liver,Alcoholic cirrhosis of liver
K701,Diseases of liver,Alcoholic hepatitis
K668,Diseases of peritoneum,Other specified disorders of peritoneum
K651,Diseases of peritoneum,Peritonitis
K638,Other diseases of intestines,Other specified diseases of intestine
K635,Other diseases of intestines,Polyp of colon
K633,Other diseases of intestines,Ulcer of intestine
K630,Other diseases of intestines,Abscess of intestine
K625,Other diseases of intestines,Haemorrhage of anus and rectum
K621,Other diseases of intestines,Rectal polyp
K610,Other diseases of intestines,Anal abscess
K591,Other diseases of intestines,Functional diarrhoea
K590,Other diseases of intestines,Constipation
K582,Other diseases of intestines,Irritable bowel syndrome
K579,Other diseases of intestines,"Diverticular disease of intestine, part unspecified, without perforation or abscess"
K573,Other diseases of intestines,Diverticular disease of large intestine without perforation or abscess
K567,Other diseases of intestines,"Ileus, unspecified"
K566,Other diseases of intestines,Other and unspecified intestinal obstruction
K564,Other diseases of intestines,Other impaction of intestine
K559,Other diseases of intestines,"Vascular disorder of intestine, unspecified"
K529,Noninfective enteritis and colitis,"Noninfective gastroenteritis and colitis, unspecified"
K510,Noninfective enteritis and colitis,Ulcerative (chronic) pancolitis
K509,Noninfective enteritis and colitis,"Crohn's disease, unspecified"
K508,Noninfective enteritis and colitis,Other Crohn's disease
K501,Noninfective enteritis and colitis,Crohn's disease of large intestine
K500,Noninfective enteritis and colitis,Crohn's disease of small intestine
K469,Hernia,Unspecified abdominal hernia without obstruction or gangrene
K449,Hernia,Diaphragmatic hernia without obstruction or gangrene
K439,Hernia,Other and unspecified ventral hernia without obstruction or gangrene
K436,Hernia,"Other and unspecified ventral hernia with obstruction, without gangrene"
K432,Hernia,Incisional hernia without obstruction or gangrene
K429,Hernia,Umbilical hernia without obstruction or gangrene
K409,Hernia,"Unilateral or unspecified inguinal hernia, without obstruction or gangrene"
K358,Diseases of appendix,"Acute appendicitis, other and unspecified"
K353,Diseases of appendix,Acute appendicitis with localised peritonitis
K319,"Diseases of oesophagus, stomach and duodenum","Disease of stomach and duodenum, unspecified"
K318,"Diseases of oesophagus, stomach and duodenum",Other specified diseases of stomach and duodenum
K311,"Diseases of oesophagus, stomach and duodenum",Adult hypertrophic pyloric stenosis
K298,"Diseases of oesophagus, stomach and duodenum",Duodenitis
K297,"Diseases of oesophagus, stomach and duodenum","Gastritis, unspecified"
K296,"Diseases of oesophagus, stomach and duodenum",Other gastritis
K295,"Diseases of oesophagus, stomach and duodenum","Chronic gastritis, unspecified"
K279,"Diseases of oesophagus, stomach and duodenum","Peptic ulcer, site unspecified, unspecified as acute or chronic, without haemorrhage or perforation"
K265,"Diseases of oesophagus, stomach and duodenum","Duodenal ulcer, chronic or unspecified with perforation"
K259,"Diseases of oesophagus, stomach and duodenum","Gastric ulcer, unspecified as acute or chronic, without haemorrhage or perforation"
K254,"Diseases of oesophagus, stomach and duodenum","Gastric ulcer, chronic or unspecified with haemorrhage"
K228,"Diseases of oesophagus, stomach and duodenum",Other specified diseases of oesophagus
K227,"Diseases of oesophagus, stomach and duodenum",Barrett's oesophagus 
K223,"Diseases of oesophagus, stomach and duodenum",Perforation of oesophagus
K222,"Diseases of oesophagus, stomach and duodenum",Oesophageal obstruction
K219,"Diseases of oesophagus, stomach and duodenum",Gastro-oesophageal reflux disease without oesophagitis
K210,"Diseases of oesophagus, stomach and duodenum",Gastro-oesophageal reflux disease with oesophagitis
K209,"Diseases of oesophagus, stomach and duodenum",Oesophagitis
K208,"Diseases of oesophagus, stomach and duodenum",Oesophagitis
K200,"Diseases of oesophagus, stomach and duodenum",Oesophagitis
K137,"Diseases of oral cavity, salivary glands and jaws",Other and unspecified lesions of oral mucosa
K121,"Diseases of oral cavity, salivary glands and jaws",Other forms of stomatitis
K118,"Diseases of oral cavity, salivary glands and jaws",Other diseases of salivary glands
K098,"Diseases of oral cavity, salivary glands and jaws","Other cysts of oral region, not elsewhere classified"
K047,"Diseases of oral cavity, salivary glands and jaws",Periapical abscess without sinus
J989,Other diseases of the respiratory system,"Respiratory disorder, unspecified"
J988,Other diseases of the respiratory system,Other specified respiratory disorders
J985,Other diseases of the respiratory system,"Diseases of mediastinum, not elsewhere classified"
J981,Other diseases of the respiratory system,Pulmonary collapse
J980,Other diseases of the respiratory system,"Diseases of bronchus, not elsewhere classified"
J969,Other diseases of the respiratory system,"Respiratory failure, unspecified"
J962,Other diseases of the respiratory system,"Respiratory failure, not elsewhere classified"
J961,Other diseases of the respiratory system,Chronic respiratory failure
J960,Other diseases of the respiratory system,Acute respiratory failure
J958,Other diseases of the respiratory system,Other postprocedural respiratory disorders
J948,Other diseases of pleura,Other specified pleural conditions
J942,Other diseases of pleura,Haemothorax
J939,Other diseases of pleura,"Pneumothorax, unspecified"
J938,Other diseases of pleura,Other pneumothorax
J931,Other diseases of pleura,Other spontaneous pneumothorax
J918,Other diseases of pleura,Pleural effusion in conditions classified elsewhere
J90,Other diseases of pleura,"Pleural effusion, not elsewhere classified"
J869,Suppurative and necrotic conditions of lower respiratory tract,Pyothorax without fistula
J849,Other respiratory diseases principally affecting the interstitium,"Interstitial pulmonary disease, unspecified"
J841,Other respiratory diseases principally affecting the interstitium,Other interstitial pulmonary diseases with fibrosis
J810,Other respiratory diseases principally affecting the interstitium,Pulmonary oedema
J80,Other respiratory diseases principally affecting the interstitium,Adult respiratory distress syndrome
J690,Lung diseases due to external agents,Pneumonitis due to food and vomit
J479,Chronic lower respiratory diseases,Bronchiectasis
J459,Chronic lower respiratory diseases,"Asthma, unspecified"
J455,Chronic lower respiratory diseases,Asthma
J454,Chronic lower respiratory diseases,Asthma
J453,Chronic lower respiratory diseases,Asthma
J452,Chronic lower respiratory diseases,Asthma
J449,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified"
J441,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified"
J440,Chronic lower respiratory diseases,Chronic obstructive pulmonary disease with acute lower respiratory infection
J439,Chronic lower respiratory diseases,"Emphysema, unspecified"
J432,Chronic lower respiratory diseases,Centrilobular emphysema
J410,Chronic lower respiratory diseases,Simple chronic bronchitis
J40,Chronic lower respiratory diseases,"Bronchitis, not specified as acute or chronic"
J359,Other diseases of upper respiratory tract,"Chronic disease of tonsils and adenoids, unspecified"
J351,Other diseases of upper respiratory tract,Hypertrophy of tonsils
J348,Other diseases of upper respiratory tract,Other specified disorders of nose and nasal sinuses
J342,Other diseases of upper respiratory tract,Deviated nasal septum
J329,Other diseases of upper respiratory tract,"Chronic sinusitis, unspecified"
J328,Other diseases of upper respiratory tract,Other chronic sinusitis
J322,Other diseases of upper respiratory tract,Chronic ethmoidal sinusitis
J321,Other diseases of upper respiratory tract,Chronic frontal sinusitis
J320,Other diseases of upper respiratory tract,Chronic maxillary sinusitis
J310,Other diseases of upper respiratory tract,Chronic rhinitis
J309,Other diseases of upper respiratory tract,Vasomotor and allergic rhinitis
